"Year","Block","Plot","Species","GrassType","PlantType","FuncDiversity","planted_fg_richness","Biomass_grams.m2"
"2021",1,1,"Panicum miliaceum","C4","grass","GLF",3,6
"2021",1,1,"Setaria italica","C4","grass","GLF",3,44
"2021",1,1,"Echinochloa crusgalli","C4","grass","GLF",3,96.1
"2021",1,2,"Lolium multiflorum","C3","grass","GL",2,75.1
"2021",1,2,"Secale cereale","C3","grass","GL",2,101.55
"2021",1,3,"Secale cereale","C3","grass","GLF",3,24.8
"2021",1,3,"Lolium multiflorum","C3","grass","GLF",3,18
"2021",1,4,"Panicum miliaceum","C4","grass","G",1,142.15
"2021",1,4,"Setaria italica","C4","grass","G",1,132
"2021",1,4,"Echinochloa crusgalli","C4","grass","G",1,501.35
"2021",1,5,"Panicum miliaceum","C4","grass","GF",2,15.05
"2021",1,5,"Echinochloa crusgalli","C4","grass","GF",2,57.15
"2021",1,5,"Setaria italica","C4","grass","GF",2,82.05
"2021",1,6,"Lolium multiflorum","C3","grass","GF",2,12.15
"2021",1,6,"Secale cereale","C3","grass","GF",2,75.8
"2021",1,7,"Panicum miliaceum","C4","grass","GL",2,115.1
"2021",1,7,"Setaria italica","C4","grass","GL",2,177.9
"2021",1,7,"Echinochloa crusgalli","C4","grass","GL",2,586.5
"2021",1,8,"Secale cereale","C3","grass","G",1,67.6
"2021",1,8,"Lolium multiflorum","C3","grass","G",1,227.35
"2021",2,9,"Secale cereale","C3","grass","GL",2,41.45
"2021",2,9,"Lolium multiflorum","C3","grass","GL",2,94.35
"2021",2,10,"Panicum miliaceum","C4","grass","GL",2,11
"2021",2,10,"Setaria italica","C4","grass","GL",2,116.15
"2021",2,10,"Echinochloa crusgalli","C4","grass","GL",2,355.65
"2021",2,11,"Lolium multiflorum","C3","grass","GLF",3,23.15
"2021",2,11,"Secale cereale","C3","grass","GLF",3,26.25
"2021",2,12,"Panicum miliaceum","C4","grass","G",1,17.4
"2021",2,12,"Setaria italica","C4","grass","G",1,222.35
"2021",2,12,"Echinochloa crusgalli","C4","grass","G",1,750.95
"2021",2,13,"Secale cereale","C3","grass","G",1,59.85
"2021",2,13,"Lolium multiflorum","C3","grass","G",1,140.4
"2021",2,14,"Secale cereale","C3","grass","GF",2,23.5
"2021",2,14,"Lolium multiflorum","C3","grass","GF",2,45.5
"2021",2,15,"Panicum miliaceum","C4","grass","GF",2,16
"2021",2,15,"Setaria italica","C4","grass","GF",2,34.5
"2021",2,15,"Echinochloa crusgalli","C4","grass","GF",2,207.5
"2021",2,16,"Panicum miliaceum","C4","grass","GLF",3,11.5
"2021",2,16,"Setaria italica","C4","grass","GLF",3,113.5
"2021",2,16,"Echinochloa crusgalli","C4","grass","GLF",3,156.75
"2021",3,17,"Panicum miliaceum","C4","grass","G",1,80.7
"2021",3,17,"Setaria italica","C4","grass","G",1,172.45
"2021",3,17,"Echinochloa crusgalli","C4","grass","G",1,717.6
