"Year","Block","Plot","FunctionalDiversity","GrassType","Species","PAV_Infection","fg_richness"
"2021",1,1,"GLF","C4","Echinochloa crusgalli",0,3
"2021",1,1,"GLF","C4","Echinochloa crusgalli",0,3
"2021",1,1,"GLF","C4","Echinochloa crusgalli",0,3
"2021",1,1,"GLF","C4","Echinochloa crusgalli",0,3
"2021",1,1,"GLF","C4","Echinochloa crusgalli",0,3
"2021",1,1,"GLF","C4","Echinochloa crusgalli",0,3
"2021",1,1,"GLF","C4","Echinochloa crusgalli",0,3
"2021",1,1,"GLF","C4","Echinochloa crusgalli",0,3
"2021",1,1,"GLF","C4","Echinochloa crusgalli",0,3
"2021",1,1,"GLF","C4","Panicum miliaceum",0,3
"2021",1,1,"GLF","C4","Panicum miliaceum",0,3
"2021",1,1,"GLF","C4","Panicum miliaceum",0,3
"2021",1,1,"GLF","C4","Panicum miliaceum",0,3
"2021",1,1,"GLF","C4","Panicum miliaceum",0,3
"2021",1,1,"GLF","C4","Panicum miliaceum",0,3
"2021",1,1,"GLF","C4","Panicum miliaceum",0,3
"2021",1,1,"GLF","C4","Panicum miliaceum",0,3
"2021",1,1,"GLF","C4","Panicum miliaceum",0,3
"2021",1,1,"GLF","C4","Setaria italica",0,3
"2021",1,1,"GLF","C4","Setaria italica",0,3
"2021",1,1,"GLF","C4","Setaria italica",0,3
"2021",1,1,"GLF","C4","Setaria italica",0,3
"2021",1,1,"GLF","C4","Setaria italica",0,3
"2021",1,1,"GLF","C4","Setaria italica",0,3
"2021",1,1,"GLF","C4","Setaria italica",0,3
"2021",1,1,"GLF","C4","Setaria italica",0,3
"2021",1,1,"GLF","C4","Setaria italica",0,3
"2021",1,2,"GL","C3","Lolium multiflorum",0,2
"2021",1,2,"GL","C3","Lolium multiflorum",0,2
"2021",1,2,"GL","C3","Lolium multiflorum",0,2
"2021",1,2,"GL","C3","Lolium multiflorum",0,2
"2021",1,2,"GL","C3","Lolium multiflorum",0,2
"2021",1,2,"GL","C3","Lolium multiflorum",0,2
"2021",1,2,"GL","C3","Lolium multiflorum",0,2
"2021",1,2,"GL","C3","Lolium multiflorum",0,2
"2021",1,2,"GL","C3","Lolium multiflorum",0,2
"2021",1,2,"GL","C3","Lolium multiflorum",0,2
"2021",1,2,"GL","C3","Secale cereale",0,2
"2021",1,2,"GL","C3","Secale cereale",0,2
"2021",1,2,"GL","C3","Secale cereale",0,2
"2021",1,2,"GL","C3","Secale cereale",0,2
"2021",1,2,"GL","C3","Secale cereale",0,2
"2021",1,2,"GL","C3","Secale cereale",0,2
"2021",1,2,"GL","C3","Secale cereale",0,2
"2021",1,3,"GLF","C3","Lolium multiflorum",0,3
"2021",1,3,"GLF","C3","Lolium multiflorum",0,3
"2021",1,3,"GLF","C3","Lolium multiflorum",0,3
"2021",1,3,"GLF","C3","Lolium multiflorum",0,3
"2021",1,3,"GLF","C3","Lolium multiflorum",0,3
"2021",1,3,"GLF","C3","Lolium multiflorum",0,3
"2021",1,3,"GLF","C3","Lolium multiflorum",0,3
"2021",1,3,"GLF","C3","Lolium multiflorum",0,3
"2021",1,3,"GLF","C3","Lolium multiflorum",0,3
"2021",1,3,"GLF","C3","Secale cereale",0,3
"2021",1,3,"GLF","C3","Secale cereale",0,3
"2021",1,3,"GLF","C3","Secale cereale",0,3
"2021",1,3,"GLF","C3","Secale cereale",0,3
"2021",1,3,"GLF","C3","Secale cereale",0,3
"2021",1,3,"GLF","C3","Secale cereale",0,3
"2021",1,3,"GLF","C3","Secale cereale",0,3
"2021",1,4,"G","C4","Echinochloa crusgalli",0,1
"2021",1,4,"G","C4","Echinochloa crusgalli",0,1
"2021",1,4,"G","C4","Echinochloa crusgalli",0,1
"2021",1,4,"G","C4","Echinochloa crusgalli",0,1
"2021",1,4,"G","C4","Echinochloa crusgalli",0,1
"2021",1,4,"G","C4","Echinochloa crusgalli",0,1
"2021",1,4,"G","C4","Echinochloa crusgalli",0,1
"2021",1,4,"G","C4","Echinochloa crusgalli",0,1
"2021",1,4,"G","C4","Echinochloa crusgalli",0,1
"2021",1,4,"G","C4","Echinochloa crusgalli",0,1
"2021",1,4,"G","C4","Panicum miliaceum",0,1
"2021",1,4,"G","C4","Panicum miliaceum",0,1
"2021",1,4,"G","C4","Panicum miliaceum",0,1
"2021",1,4,"G","C4","Panicum miliaceum",0,1
"2021",1,4,"G","C4","Panicum miliaceum",0,1
"2021",1,4,"G","C4","Panicum miliaceum",0,1
"2021",1,4,"G","C4","Panicum miliaceum",0,1
"2021",1,4,"G","C4","Panicum miliaceum",0,1
"2021",1,4,"G","C4","Panicum miliaceum",0,1
"2021",1,4,"G","C4","Setaria italica",0,1
"2021",1,4,"G","C4","Setaria italica",0,1
"2021",1,4,"G","C4","Setaria italica",0,1
"2021",1,4,"G","C4","Setaria italica",0,1
"2021",1,4,"G","C4","Setaria italica",0,1
"2021",1,4,"G","C4","Setaria italica",0,1
"2021",1,4,"G","C4","Setaria italica",0,1
"2021",1,4,"G","C4","Setaria italica",0,1
"2021",1,4,"G","C4","Setaria italica",0,1
"2021",1,4,"G","C4","Setaria italica",0,1
"2021",1,5,"GF","C4","Echinochloa crusgalli",0,2
"2021",1,5,"GF","C4","Echinochloa crusgalli",0,2
"2021",1,5,"GF","C4","Echinochloa crusgalli",0,2
"2021",1,5,"GF","C4","Echinochloa crusgalli",0,2
"2021",1,5,"GF","C4","Echinochloa crusgalli",0,2
"2021",1,5,"GF","C4","Echinochloa crusgalli",0,2
"2021",1,5,"GF","C4","Echinochloa crusgalli",0,2
"2021",1,5,"GF","C4","Echinochloa crusgalli",0,2
"2021",1,5,"GF","C4","Echinochloa crusgalli",0,2
"2021",1,5,"GF","C4","Panicum miliaceum",0,2
"2021",1,5,"GF","C4","Panicum miliaceum",0,2
"2021",1,5,"GF","C4","Panicum miliaceum",0,2
"2021",1,5,"GF","C4","Panicum miliaceum",0,2
"2021",1,5,"GF","C4","Panicum miliaceum",0,2
"2021",1,5,"GF","C4","Panicum miliaceum",0,2
"2021",1,5,"GF","C4","Panicum miliaceum",0,2
"2021",1,5,"GF","C4","Panicum miliaceum",0,2
"2021",1,5,"GF","C4","Panicum miliaceum",0,2
"2021",1,5,"GF","C4","Panicum miliaceum",0,2
"2021",1,5,"GF","C4","Setaria italica",0,2
"2021",1,5,"GF","C4","Setaria italica",0,2
"2021",1,5,"GF","C4","Setaria italica",0,2
"2021",1,5,"GF","C4","Setaria italica",0,2
"2021",1,5,"GF","C4","Setaria italica",0,2
"2021",1,5,"GF","C4","Setaria italica",0,2
"2021",1,5,"GF","C4","Setaria italica",0,2
"2021",1,5,"GF","C4","Setaria italica",0,2
"2021",1,6,"GF","C3","Lolium multiflorum",0,2
"2021",1,6,"GF","C3","Lolium multiflorum",0,2
"2021",1,6,"GF","C3","Lolium multiflorum",0,2
"2021",1,6,"GF","C3","Lolium multiflorum",0,2
"2021",1,6,"GF","C3","Lolium multiflorum",0,2
"2021",1,6,"GF","C3","Lolium multiflorum",0,2
"2021",1,6,"GF","C3","Lolium multiflorum",0,2
"2021",1,6,"GF","C3","Lolium multiflorum",0,2
"2021",1,6,"GF","C3","Lolium multiflorum",0,2
"2021",1,6,"GF","C3","Lolium multiflorum",0,2
"2021",1,6,"GF","C3","Secale cereale",0,2
"2021",1,6,"GF","C3","Secale cereale",0,2
"2021",1,6,"GF","C3","Secale cereale",0,2
"2021",1,6,"GF","C3","Secale cereale",0,2
"2021",1,6,"GF","C3","Secale cereale",0,2
"2021",1,6,"GF","C3","Secale cereale",0,2
"2021",1,6,"GF","C3","Secale cereale",0,2
"2021",1,6,"GF","C3","Secale cereale",0,2
"2021",1,6,"GF","C3","Secale cereale",0,2
"2021",1,7,"GL","C4","Echinochloa crusgalli",0,2
"2021",1,7,"GL","C4","Echinochloa crusgalli",0,2
"2021",1,7,"GL","C4","Echinochloa crusgalli",0,2
"2021",1,7,"GL","C4","Echinochloa crusgalli",0,2
