"Year","Month","MonthlySum_inches","DepartureFromNormal","PercentOfNormal","Normal_1991to2020"
"2021","Jan","1.84","-0.4","82%","2.24"
"2021","Feb","2.43","0.45","123%","1.98"
"2021","Mar","1.19","-1.59","43%","2.78"
"2021","Apr","3.88","0.48","114%","3.4"
"2021","May","4.05","0.85","127%","3.2"
"2021","Jun","4.42","0.44","111%","3.98"
"2021","Jul","6.32","2.42","162%","3.9"
"2021","Aug","6.24","2.47","166%","3.77"
"2021","Sep","5.23","1.4","137%","3.83"
"2021","Oct","7.35","3.65","199%","3.7"
"2021","Nov","2.69","-0.25","91%","2.94"
"2021","Dec","2.26","-0.31","88%","2.57"
"2022","Jan","1.28","-0.96","57%","2.24"
"2022","Feb","2.72","0.74","137%","1.98"
"2022","Mar","2.75","-0.03","99%","2.78"
"2022","Apr","3.06","-0.34","90%","3.4"
"2022","May","1.97","-1.23","62%","3.2"
"2022","Jun","3.52","-0.46","88%","3.98"
"2022","Jul","1.64","-2.26","42%","3.9"
"2022","Aug","4.72","0.95","125%","3.77"
"2022","Sep","6.01","2.18","157%","3.83"
"2022","Oct","0.76","-2.94","21%","3.7"
"2022","Nov","3.75","0.81","128%","2.94"
"2022","Dec","3.19","0.62","124%","2.57"
